,booksim_latency,booksim_power,booksim_leakage_store,pred_latency,pred_energy,pred_power,neurosim_latency,neurosim_energy
0,10417.817342400002,0.465425,0.0,tensor(58455.5469),0.0,tensor(0.3723),194488.8,621159.0
1,3200.9304952,0.804608,0.0736341,tensor(35485.1406),0.0,tensor(0.6687),464402.6,2231078.0
2,10739.301931200001,1.332956,0.1472682,tensor(75563.3281),0.0,tensor(1.0881),1193404.5999999999,7833429.0
3,5757.721359200001,0.8047420000000001,0.0736341,tensor(39816.3125),0.0,tensor(0.6839),605487.0,2832849.0
4,8911.5736096,1.4526750000000002,0.1472682,tensor(75563.3281),0.0,tensor(1.0881),905906.06,7123041.0
5,1546.2992560000002,1.040057,0.0736341,tensor(24900.8711),0.0,tensor(0.6609),232066.52000000002,1358988.0
6,4808.8736408,1.689736,0.1472682,tensor(56420.0156),0.0,tensor(1.0627),618052.16,5608755.0
7,2778.7868968000002,1.040459,0.0736341,tensor(31924.9297),0.0,tensor(0.6668),308116.96,1833634.0
8,4808.8736408,1.689736,0.1472682,tensor(56420.0156),0.0,tensor(1.0627),469529.32,4931616.0
9,683.414852,0.910195,0.0736341,tensor(8520.2227),0.0,tensor(0.6571),90854.25,656502.0
10,1423.9218296000001,2.028332,0.1472682,tensor(23376.7891),0.0,tensor(1.0502),208213.89,2730581.0
11,971.4764880000001,1.259014,0.0736341,tensor(17263.9062),0.0,tensor(0.6584),109790.95000000001,815184.0
12,1423.9218296000001,2.028332,0.1472682,tensor(23376.7891),0.0,tensor(1.0502),211197.13,2902086.0
13,1007.1102976000001,1.265703,0.0736341,tensor(18370.7812),0.0,tensor(0.6585),109320.29999999999,1112420.0
14,2701.79706,2.409402,0.1472682,tensor(50683.0547),0.0,tensor(1.2627),228205.84000000003,5738281.0
15,1294.3916312000001,1.498349,0.0736341,tensor(20649.0820),0.0,tensor(0.6598),132260.90000000002,1323868.0
16,1834.3608920000001,3.033136,0.1472682,tensor(50683.0547),0.0,tensor(1.2627),252403.29,25075295.0
0,8815.3363136,0.491343,0.0,tensor(58190.5703),0.0,tensor(0.3809),228114.7,621164.0
1,2708.9498320000002,0.848636,0.094295,tensor(32619.4766),0.0,tensor(0.6521),567570.4,2231138.0
2,9087.791901600001,1.406745,0.18859,tensor(72115.6250),0.0,tensor(1.0558),1510876.7000000002,7832689.0
3,4872.4682864,0.848791,0.094295,tensor(37680.7930),0.0,tensor(0.6738),730606.6000000001,2832919.0
4,9087.791901600001,1.406745,0.18859,tensor(72115.6250),0.0,tensor(1.0558),1172779.99,7122293.0
5,1307.0065200000001,0.7164079999999999,0.094295,tensor(22148.4297),0.0,tensor(0.6365),277599.18,1359015.0
6,4069.6671672,1.7834210000000001,0.18859,tensor(54637.9531),0.0,tensor(1.0159),808207.39,8058152.0
