,booksim_latency,booksim_power,booksim_leakage_store,pred_latency,pred_energy,pred_power,neurosim_latency,neurosim_energy
0,10417.817342400002,0.454323,0.0,tensor(58022.7930),0.0,tensor(0.3517),307814.0,1165162.0
1,3200.9304952,0.787332,0.120928,tensor(33730.),0.0,tensor(0.6327),763441.0,4606944.0
2,10739.301931200001,1.302123,0.241856,tensor(73556.1406),0.0,tensor(1.0020),2116460.5,16434842.0
3,5757.721359200001,0.787459,0.120928,tensor(39253.5469),0.0,tensor(0.6483),990141.9,5793992.0
4,10739.301931200001,1.302123,0.241856,tensor(73556.1406),0.0,tensor(1.0020),1643858.88,15169908.0
5,1544.7386512000003,0.785296,0.120928,tensor(23671.0020),0.0,tensor(0.6200),285942.96,2856772.0
6,6909.8378528,1.663309,0.241856,tensor(76614.3594),0.0,tensor(1.1427),800545.28,17509825.0
7,2778.7868968000002,1.013692,0.120928,tensor(30400.3496),0.0,tensor(0.6292),419331.27999999997,3842790.0
8,6910.0979536,1.9275990000000003,0.241856,tensor(76614.3594),0.0,tensor(1.1427),569124.69,16125181.0
9,683.414852,0.888518,0.120928,tensor(9999.9570),0.0,tensor(0.6128),114404.66,1378132.0
10,3845.4602776,2.490685,0.241856,tensor(51149.2109),0.0,tensor(1.2579),242288.78,8194724.0
11,971.4764880000001,1.2234500000000001,0.120928,tensor(15895.3672),0.0,tensor(0.6152),161735.88,3481197.0
12,2412.6950208000003,2.3382899999999998,0.241856,tensor(51149.2109),0.0,tensor(1.2579),246820.75999999998,8220560.0
13,1008.6709024,1.4524219999999999,0.120928,tensor(17042.7324),0.0,tensor(0.6155),167661.4,3772733.0
14,2675.9170304,2.756444,0.241856,tensor(40430.8633),0.0,tensor(1.4910),278490.78,11056281.0
15,1295.952236,1.673957,0.120928,tensor(21395.8672),0.0,tensor(0.6178),191188.72,3778827.0
16,2682.5496008,3.089544,0.241856,tensor(40430.8633),0.0,tensor(1.4910),221429.98,43807821.0
0,10417.817342400002,0.511923,0.0,tensor(58236.1406),0.0,tensor(0.3908),288445.8,1165955.0
1,3200.9304952,0.887878,0.123308,tensor(33952.),0.0,tensor(0.7016),804398.6,4610910.0
2,10739.301931200001,1.467568,0.246616,tensor(73880.4844),0.0,tensor(1.1115),1995868.7,16442345.0
3,5757.721359200001,0.888023,0.123308,tensor(39287.2969),0.0,tensor(0.7177),991190.1,5797965.0
4,10739.301931200001,1.467568,0.246616,tensor(73880.4844),0.0,tensor(1.1115),1590251.18,15176935.0
5,1544.7386512000003,0.885571,0.123308,tensor(23864.6426),0.0,tensor(0.6896),309407.96,2858680.0
6,6909.8378528,1.8733389999999999,0.246616,tensor(77119.3594),0.0,tensor(1.2826),724233.88,12071469.0
7,2778.7868968000002,1.142468,0.123308,tensor(30781.2031),0.0,tensor(0.6983),407577.58,3844842.0
