,booksim_latency,booksim_power,booksim_leakage_store,pred_latency,pred_energy,pred_power,neurosim_latency,neurosim_energy
0,10417.817342400002,0.462169,0.0,tensor(58433.2344),0.0,tensor(0.3700),177450.8,538934.0
1,3200.9304952,0.798926,0.0736341,tensor(35466.9961),0.0,tensor(0.6639),419849.6,1473158.0
2,10739.301931200001,1.323604,0.1472682,tensor(75530.2969),0.0,tensor(1.0805),1075130.5999999999,4761684.0
3,5757.721359200001,0.799058,0.0736341,tensor(39807.4180),0.0,tensor(0.6791),547628.0,1984824.0
4,8911.5736096,1.442358,0.1472682,tensor(75530.2969),0.0,tensor(1.0805),816747.26,4020919.0
5,1546.2992560000002,1.032782,0.0736341,tensor(24899.4102),0.0,tensor(0.6560),202139.71999999997,793678.0
6,4808.8736408,1.677972,0.1472682,tensor(56407.1719),0.0,tensor(1.0550),519775.16000000003,3109933.0
7,2778.7868968000002,1.03318,0.0736341,tensor(31899.3047),0.0,tensor(0.6619),274118.96,1073763.0
8,4808.8736408,1.677972,0.1472682,tensor(56407.1719),0.0,tensor(1.0550),385734.82,2729184.0
9,683.414852,0.903772,0.0736341,tensor(8521.1465),0.0,tensor(0.6521),81310.95,401065.0
10,1423.9218296000001,2.014274,0.1472682,tensor(23392.0938),0.0,tensor(1.0424),177860.99,1319879.0
11,971.4764880000001,1.250257,0.0736341,tensor(17249.9355),0.0,tensor(0.6534),98760.85,503657.0
12,1423.9218296000001,2.014274,0.1472682,tensor(23392.0938),0.0,tensor(1.0424),180686.63,1360865.0
13,1007.1102976000001,1.256899,0.0736341,tensor(18359.4961),0.0,tensor(0.6536),116534.29999999999,617976.0
14,2296.1698624,1.996516,0.1472682,tensor(33092.4922),0.0,tensor(1.0441),253242.04,3032526.0
15,1294.3916312000001,1.48797,0.0736341,tensor(20653.0176),0.0,tensor(0.6548),134510.1,732912.0
16,1896.0047816000001,2.3704359999999998,0.1472682,tensor(33092.4922),0.0,tensor(1.0441),327122.19,13672709.0
0,8815.3363136,0.422287,0.0,tensor(58202.7656),0.0,tensor(0.3323),223202.06,480851.0
1,2708.9498320000002,0.727133,0.0707552,tensor(32981.7305),0.0,tensor(0.5803),548979.12,1325078.0
2,9087.791901600001,1.207922,0.1415104,tensor(72385.9688),0.0,tensor(0.9607),1399421.36,4418549.0
3,4872.4682864,0.727265,0.0707552,tensor(37712.8711),0.0,tensor(0.5976),707246.56,1798809.0
4,7990.816777600001,1.224366,0.1415104,tensor(72385.9688),0.0,tensor(0.9607),1094236.41,3745813.0
5,1308.957276,0.943664,0.0707552,tensor(21171.7246),0.0,tensor(0.5707),264104.5,722312.0
6,4069.6671672,1.536355,0.1415104,tensor(55960.1406),0.0,tensor(0.9317),707741.05,2950241.0
7,2351.8314336000003,0.9440919999999999,0.0707552,tensor(30519.8223),0.0,tensor(0.5778),350596.54000000004,983308.0
8,4069.6671672,1.536355,0.1415104,tensor(55960.1406),0.0,tensor(0.9317),551482.99,2604529.8
9,578.8543304000001,0.8223,0.0707552,tensor(6786.8975),0.0,tensor(0.5657),107967.28,373942.19999999995
10,1205.5672080000002,1.8466960000000001,0.1415104,tensor(19142.0547),0.0,tensor(0.9166),244495.08000000002,1521801.4
11,822.5687800000001,1.144218,0.0707552,tensor(13120.2539),0.0,tensor(0.5674),133018.71000000002,472292.4
12,1205.5672080000002,1.8466960000000001,0.1415104,tensor(19142.0547),0.0,tensor(0.9166),248275.03999999998,1563822.4
13,852.7404728,1.150541,0.0707552,tensor(13854.3838),0.0,tensor(0.5676),153324.34999999998,580456.6
14,1906.7989648,1.986321,0.1415104,tensor(31933.9492),0.0,tensor(1.0466),290598.73,2535509.6
15,1095.8046704,1.364713,0.0707552,tensor(19292.4570),0.0,tensor(0.5693),169366.97999999998,690773.6
16,1904.5881080000001,2.261111,0.1415104,tensor(31933.9492),0.0,tensor(1.0466),355002.45,8874303.6
0,8815.3363136,0.484277,0.0,tensor(58360.5820),0.0,tensor(0.3752),198621.7,538939.0
1,2708.9498320000002,0.835316,0.0721946,tensor(33157.2188),0.0,tensor(0.6691),485576.4,1473208.0
2,9087.791901600001,1.385954,0.1443892,tensor(72809.0938),0.0,tensor(1.0984),1245197.7000000002,4760260.0
3,4872.4682864,0.8354699999999999,0.0721946,tensor(37755.4609),0.0,tensor(0.6849),625436.6000000001,1984880.0
4,7990.816777600001,1.407233,0.1443892,tensor(72809.0938),0.0,tensor(1.0984),958404.9899999999,4019502.0
5,1308.957276,1.0821230000000002,0.0721946,tensor(21519.4023),0.0,tensor(0.6610),235944.18,793714.0
6,4069.6671672,1.760266,0.1443892,tensor(54900.5312),0.0,tensor(1.0726),650666.39,3109253.0
7,2351.8314336000003,1.082616,0.0721946,tensor(30754.6387),0.0,tensor(0.6670),315921.69,1073404.0
8,4069.6671672,1.760266,0.1443892,tensor(54900.5312),0.0,tensor(1.0726),501904.2,2728794.0
9,578.8543304000001,0.944397,0.0721946,tensor(6823.5576),0.0,tensor(0.6567),96713.39,400984.8
10,1205.5672080000002,2.114125,0.1443892,tensor(19047.7383),0.0,tensor(1.0600),225707.99,1995952.8
11,822.5687800000001,1.310734,0.0721946,tensor(13536.7412),0.0,tensor(0.6582),118985.85,503576.8
12,1205.5672080000002,2.114125,0.1443892,tensor(19047.7383),0.0,tensor(1.0600),229113.39,2044259.8
13,852.7404728,1.3179880000000002,0.0721946,tensor(14190.4365),0.0,tensor(0.6583),137352.16999999998,617897.0
14,1854.9088552000003,2.098789,0.1443892,tensor(29509.0410),0.0,tensor(1.0618),279794.95999999996,2474708.0
15,1095.8046704,1.562123,0.0721946,tensor(19342.2109),0.0,tensor(0.6597),151929.03,732645.0
16,1604.9519864000001,2.490871,0.1443892,tensor(29509.0410),0.0,tensor(1.0618),345456.45,12306856.0
0,8815.3363136,0.365799,0.0,tensor(57824.3594),0.0,tensor(0.2943),318928.48,466357.0
1,2708.9498320000002,0.6295379999999999,0.0905349,tensor(32193.1445),0.0,tensor(0.4884),803359.96,1288181.0
2,9087.791901600001,1.046186,0.1810698,tensor(71356.9375),0.0,tensor(0.7975),2128688.38,4332210.0
3,4872.4682864,0.62965,0.0905349,tensor(37440.3398),0.0,tensor(0.5102),1026920.1799999999,1752419.0
4,9087.791901600001,1.046186,0.1810698,tensor(71356.9375),0.0,tensor(0.7975),1673768.43,3676472.0
5,1307.0065200000001,0.528845,0.0905349,tensor(21497.5391),0.0,tensor(0.4721),398658.1,704529.0
6,4069.6671672,1.3299439999999998,0.1810698,tensor(57150.7227),0.0,tensor(0.7548),1084592.27,3839985.0
7,2351.8314336000003,0.816955,0.0905349,tensor(29419.8359),0.0,tensor(0.4841),528805.1499999999,960554.0
8,4069.6671672,1.3299439999999998,0.1810698,tensor(57150.7227),0.0,tensor(0.7548),850929.5999999999,3493605.7
9,579.5045824000001,0.80633,0.0905349,tensor(7486.5776),0.0,tensor(0.4632),160855.89,367135.1
10,1149.7755864,1.4442599999999999,0.1810698,tensor(25640.3711),0.0,tensor(0.8269),306072.87,1470132.7
11,822.5687800000001,0.989826,0.0905349,tensor(13705.7188),0.0,tensor(0.4661),185360.31,464426.69999999995
12,1428.8637448000002,1.66987,0.1810698,tensor(25640.3711),0.0,tensor(0.8269),311606.13,1513325.4
13,852.7404728,0.99524,0.0905349,tensor(14543.5723),0.0,tensor(0.4665),186077.16,573689.8
14,3253.4708568000005,1.865046,0.1810698,tensor(47062.4844),0.0,tensor(1.0313),291287.74,2988584.8
15,735.1749112,1.287887,0.0905349,tensor(9816.7988),0.0,tensor(0.5472),173567.38,687865.8
16,3284.5529024,2.142041,0.1810698,tensor(47062.4844),0.0,tensor(1.0313),420651.39,13751002.8
0,10417.817342400002,0.512675,0.0,tensor(58571.3203),0.0,tensor(0.4050),144289.8,538919.0
1,3200.9304952,0.887087,0.0750735,tensor(35618.1484),0.0,tensor(0.7361),348093.6,1473098.0
2,10739.301931200001,1.468671,0.150147,tensor(75750.6328),0.0,tensor(1.1926),893009.2,4763139.0
3,5757.721359200001,0.887235,0.0750735,tensor(39709.2500),0.0,tensor(0.7500),449960.1,1984779.0
4,8911.5736096,1.602396,0.150147,tensor(75750.6328),0.0,tensor(1.1926),683660.69,4022383.0
5,1546.2992560000002,1.145651,0.0750735,tensor(24982.2734),0.0,tensor(0.7295),168370.88,793662.0
6,4808.8736408,1.860453,0.150147,tensor(56665.3438),0.0,tensor(1.1700),439854.99000000005,3110636.0
7,2778.7868968000002,1.1460949999999999,0.0750735,tensor(32211.6250),0.0,tensor(0.7345),228661.28999999998,1074145.0
8,4808.8736408,1.860453,0.150147,tensor(56665.3438),0.0,tensor(1.1700),329122.16,2729585.0
9,683.414852,1.003408,0.0750735,tensor(8418.4365),0.0,tensor(0.7265),68096.62,401151.0
10,1423.9218296000001,2.232371,0.150147,tensor(23222.1504),0.0,tensor(1.1595),151729.40000000002,1320157.0
11,971.4764880000001,1.3861180000000002,0.0750735,tensor(17232.2812),0.0,tensor(0.7275),82636.28,503742.0
12,1423.9218296000001,2.232371,0.150147,tensor(23222.1504),0.0,tensor(1.1595),154142.85,1361152.0
13,1007.1102976000001,1.393491,0.0750735,tensor(18302.7988),0.0,tensor(0.7276),97732.47,618058.0
14,2296.1698624,2.213403,0.150147,tensor(32744.8594),0.0,tensor(1.1609),217761.79,3664035.0
15,1294.3916312000001,1.648986,0.0750735,tensor(20606.1602),0.0,tensor(0.7287),112374.03,733187.0
16,1896.0047816000001,2.626176,0.150147,tensor(32744.8594),0.0,tensor(1.1609),295864.87,18013032.0
0,10417.817342400002,0.564258,0.0,tensor(58805.8672),0.0,tensor(0.4377),198576.6,554012.0
1,3200.9304952,0.977129,0.0765129,tensor(35696.2070),0.0,tensor(0.8066),653655.2,1512974.0
2,10739.301931200001,1.616832,0.1530258,tensor(75970.3125),0.0,tensor(1.3022),1394127.5999999999,4854652.0
3,5757.721359200001,0.977293,0.0765129,tensor(39561.3828),0.0,tensor(0.8188),745878.8999999999,2034132.0
4,8911.5736096,1.7658479999999999,0.1530258,tensor(75970.3125),0.0,tensor(1.3022),1171675.0699999998,4096599.0
5,1546.2992560000002,1.2609279999999998,0.0765129,tensor(25260.9531),0.0,tensor(0.8011),314927.74,812872.0
6,4808.8736408,2.046825,0.1530258,tensor(56768.9453),0.0,tensor(1.2825),670585.61,3153242.0
7,2778.7868968000002,1.261418,0.0765129,tensor(32579.2617),0.0,tensor(0.8052),369834.81,1098330.0
8,4808.8736408,2.046825,0.1530258,tensor(56768.9453),0.0,tensor(1.2825),549434.08,2763091.0
9,683.414852,1.1051700000000002,0.0765129,tensor(8291.9043),0.0,tensor(0.7985),118319.67000000001,408457.0
10,1423.9218296000001,2.455119,0.1530258,tensor(23179.0352),0.0,tensor(1.2735),220266.06000000003,1333977.0
11,971.4764880000001,1.524876,0.0765129,tensor(17173.6680),0.0,tensor(0.7994),132298.51,512110.0
12,1423.9218296000001,2.455119,0.1530258,tensor(23179.0352),0.0,tensor(1.2735),226245.56000000003,1375285.0
13,1007.1102976000001,1.532997,0.0765129,tensor(18216.6504),0.0,tensor(0.7995),163283.08,628117.0
14,2296.1698624,2.434915,0.1530258,tensor(32576.5957),0.0,tensor(1.2747),297390.54,2159222.0
15,1294.3916312000001,1.813435,0.0765129,tensor(20750.2793),0.0,tensor(0.8004),173177.41999999998,744496.0
16,1896.0047816000001,2.887369,0.1530258,tensor(32576.5957),0.0,tensor(1.2747),466565.88,8532858.0
0,12020.2983712,0.538453,0.0,tensor(58889.4375),0.0,tensor(0.4305),181828.6,670229.0
1,3692.9111584,0.9337139999999999,0.0779523,tensor(37732.3086),0.0,tensor(0.7924),489880.19999999995,1809448.0
2,12390.811960800002,1.543568,0.1559046,tensor(78274.4531),0.0,tensor(1.2733),1153580.0,5536929.0
3,6642.974432000001,0.933858,0.0779523,tensor(41291.1680),0.0,tensor(0.8050),603076.6,2406519.0
4,9832.460492000002,1.8004769999999999,0.1559046,tensor(78274.4531),0.0,tensor(1.2733),900548.6,4642758.0
5,1783.6412360000002,1.2033559999999999,0.0779523,tensor(29158.3086),0.0,tensor(0.7867),236358.5,955762.0
6,5548.080114400001,1.951858,0.1559046,tensor(59249.9688),0.0,tensor(1.2525),552168.3999999999,3470675.0
7,3205.74236,1.203761,0.0779523,tensor(33682.2812),0.0,tensor(0.7910),301736.69999999995,1278205.0
8,5548.080114400001,1.951858,0.1559046,tensor(59249.9688),0.0,tensor(1.2525),418850.67,3011347.0
9,787.9753736,1.056586,0.0779523,tensor(10376.7666),0.0,tensor(0.7841),91641.35,462483.0
10,1642.2764512,2.340638,0.1559046,tensor(27338.3594),0.0,tensor(1.2430),179457.13,1436537.0
11,1120.3841960000002,1.454872,0.0779523,tensor(19349.6094),0.0,tensor(0.7850),106894.62,574615.0
12,1642.2764512,2.340638,0.1559046,tensor(27338.3594),0.0,tensor(1.2430),183314.3,1480090.0
13,1161.4801224000003,1.462382,0.0779523,tensor(20451.8926),0.0,tensor(0.7851),128108.4,702951.0
14,2525.7088184000004,2.325597,0.1559046,tensor(37380.6562),0.0,tensor(1.2442),249316.84999999998,2296067.0
15,1492.9785920000002,1.728607,0.0779523,tensor(22344.1465),0.0,tensor(0.7860),141416.27999999997,828001.0
16,2187.0575768000003,2.7506139999999997,0.1559046,tensor(37380.6562),0.0,tensor(1.2442),356857.56,8835685.0
0,12020.2983712,0.582209,0.0,tensor(59047.1445),0.0,tensor(0.4580),171528.4,670230.0
1,3692.9111584,1.010108,0.0793918,tensor(38171.5117),0.0,tensor(0.8519),467697.80000000005,1809450.0
2,12390.811960800002,1.6692609999999999,0.1587836,tensor(78937.2500),0.0,tensor(1.3654),1092477.3,5538460.0
3,6642.974432000001,1.010264,0.0793918,tensor(41646.6016),0.0,tensor(0.8628),572812.2,2406510.0
4,9832.460492000002,1.9486949999999998,0.1587836,tensor(78937.2500),0.0,tensor(1.3654),857425.1,4644290.0
5,1783.6412360000002,1.301183,0.0793918,tensor(29735.9844),0.0,tensor(0.8472),225345.40000000002,955770.0
6,5548.080114400001,2.109986,0.1587836,tensor(59758.5508),0.0,tensor(1.3474),522983.89999999997,3471405.0
7,3205.74236,1.301622,0.0793918,tensor(33997.5547),0.0,tensor(0.8508),286494.5,1278605.0
8,5548.080114400001,2.109986,0.1587836,tensor(59758.5508),0.0,tensor(1.3474),398434.42,3011778.0
9,787.9753736,1.14301,0.0793918,tensor(10117.5439),0.0,tensor(0.8451),87279.67,462572.0
10,1642.2764512,2.529726,0.1587836,tensor(27028.1289),0.0,tensor(1.3394),171370.58,1436829.0
11,1120.3841960000002,1.572702,0.0793918,tensor(19699.6836),0.0,tensor(0.8458),101905.39,574703.0
12,1642.2764512,2.529726,0.1587836,tensor(27028.1289),0.0,tensor(1.3394),175101.57,1480381.0
13,1161.4801224000003,1.580828,0.0793918,tensor(20795.5664),0.0,tensor(0.8459),122345.24,703041.0
14,2525.7088184000004,2.513922,0.1587836,tensor(37814.2109),0.0,tensor(1.3404),228972.03999999998,2296549.0
15,1492.9785920000002,1.8682189999999999,0.0793918,tensor(22545.2539),0.0,tensor(0.8466),134713.16999999998,828282.0
16,2187.0575768000003,2.972296,0.1587836,tensor(37814.2109),0.0,tensor(1.3404),348145.77999999997,8836454.0
0,13622.9094504,0.553766,0.0,tensor(59134.8281),0.0,tensor(0.4468),157313.3,670230.0
1,4185.1519224,0.9616100000000001,0.0808312,tensor(40806.0469),0.0,tensor(0.8280),442392.6,1809450.0
2,14042.7121416,1.588146,0.1616624,tensor(81935.3281),0.0,tensor(1.3231),1021372.3999999999,5539980.0
3,7528.4876056,0.961757,0.0808312,tensor(44119.9375),0.0,tensor(0.8399),535106.3,2406500.0
4,10936.328287200002,1.913112,0.1616624,tensor(81935.3281),0.0,tensor(1.3231),809818.7999999999,4645833.0
5,2021.2433168000002,1.23743,0.0808312,tensor(31422.1680),0.0,tensor(0.8226),213346.2,955775.0
6,6287.6767392,2.0056659999999997,0.1616624,tensor(62901.7812),0.0,tensor(1.3037),491055.6,3472162.0
7,3632.9579240000003,1.2378200000000001,0.0808312,tensor(34776.5820),0.0,tensor(0.8267),268712.7,1279012.0
8,6287.6767392,2.0056659999999997,0.1616624,tensor(62901.7812),0.0,tensor(1.3037),377728.57,3012226.0
9,892.7959960000001,1.0880800000000002,0.0808312,tensor(11451.3301),0.0,tensor(0.8201),82405.54999999999,462672.0
10,1861.021224,2.403686,0.1616624,tensor(30383.8984),0.0,tensor(1.2942),160982.84999999998,1437127.0
11,1269.5520048,1.494916,0.0808312,tensor(21394.6426),0.0,tensor(0.8209),95627.62,574804.0
12,1861.021224,2.403686,0.1616624,tensor(30383.8984),0.0,tensor(1.2942),164609.78,1480676.0
13,1316.110048,1.502623,0.0808312,tensor(22431.6875),0.0,tensor(0.8210),115349.87,703134.0
14,3001.6932824000005,2.38483,0.1616624,tensor(40752.0156),0.0,tensor(1.2955),215077.46999999997,2297029.0
15,1691.8256536000001,1.774853,0.0808312,tensor(25180.5859),0.0,tensor(0.8219),126297.37,828565.0
16,2478.5005232000003,2.822835,0.1616624,tensor(40752.0156),0.0,tensor(1.2955),345654.8,8837212.0
0,13622.9094504,0.592621,0.0,tensor(59295.9375),0.0,tensor(0.4708),155949.4,670230.0
1,4185.1519224,1.029448,0.0822706,tensor(41184.5859),0.0,tensor(0.8812),438653.80000000005,1809450.0
2,14042.7121416,1.6997609999999999,0.1645412,tensor(82378.8516),0.0,tensor(1.4051),1010024.1000000001,5541530.0
3,7528.4876056,1.029606,0.0822706,tensor(44418.9922),0.0,tensor(0.8914),530394.6000000001,2406510.0
4,10936.328287200002,2.048973,0.1645412,tensor(82378.8516),0.0,tensor(1.4051),800145.4000000001,4647374.0
